ChenFlurMukhopadhyay-SAS2012-Ex2.08.bpl,3,0,0,51.65
LeikeHeizmann-TACAS2014-Ex9.bpl,0,0,3,29.29
ChenFlurMukhopadhyay-SAS2012-Ex2.10.bpl,0,0,3,35.79
PastaA8_false-no-overflow_true-termination.bpl,0,0,3,19.47
2.bpl,1,0,2,82.93
2.bpl,2,0,1,59.28
LeikeHeizmann-TACAS2014-Ex1.bpl,0,0,3,28.16
Copenhagen.bpl,0,0,3,28.06
ChenFlurMukhopadhyay-SAS2012-Ex3.03.bpl,3,0,0,122.04
PodelskiRybalchenko-TACAS2011-Fig1.bpl,0,0,3,15.92
ChenFlurMukhopadhyay-SAS2012-Ex2.07.bpl,1,2,0,51.86
b.03_assume_false-no-overflow.bpl,0,0,3,38.15
b.03_assume_false-no-overflow.bpl,0,0,3,26.39
171.bpl,0,0,3,29.49
151.bpl,0,1,2,113.94
144.bpl,0,3,0,72.91
55.bpl,0,1,2,69.34
167.bpl,0,2,1,85.76
126.bpl,3,0,0,58.53
PastaC7.bpl,0,0,3,64.21
2Nested-2.bpl,1,0,2,210.58
a.09_assume.bpl,0,0,3,61.23
ChenFlurMukhopadhyay-SAS2012-Ex3.05.bpl,2,1,0,130.51
61.bpl,0,0,3,50.27
73.bpl,1,1,1,88.25
158.bpl,0,0,3,88.64
162.bpl,0,1,2,83.73
133.bpl,0,0,3,14.9
154.bpl,3,0,0,106.09
154.bpl,1,2,0,99.55
149.bpl,0,0,3,52.36
b.04.bpl,0,0,3,30.63
67.bpl,3,0,0,47.05
159.bpl,0,0,3,61.86
15.bpl,3,0,0,37.74
ChenFlurMukhopadhyay-SAS2012-Ex2.13.bpl,1,0,2,144.5
115.bpl,0,0,3,17.94
68.bpl,0,0,3,19.5
150.bpl,0,0,3,34.2
164.bpl,0,0,3,40.64
ChenFlurMukhopadhyay-SAS2012-Ex2.16.bpl,0,0,3,71.42
LeikeHeizmann-TACAS2014-Fig1.bpl,2,0,1,112.24
83.bpl,0,0,3,59.61
PastaB6.bpl,0,0,3,16.14
30.bpl,0,0,3,30.33
148.bpl,0,2,1,130.79
36.bpl,0,0,3,21.42
72.bpl,3,0,0,62.55
Waldkirch.bpl,0,0,3,12.5
PastaA6_false-no-overflow_true-termination.bpl,0,0,3,21.87
166.bpl,1,0,2,66.85
PastaA4.bpl,0,0,3,25.1
52.bpl,0,0,3,20.86
WhileDecr.bpl,0,0,3,15.16
PastaA5_false-no-overflow_true-termination.bpl,0,0,3,15.68
PastaB2.bpl,0,0,3,20.43
156.bpl,1,0,2,85.67
PastaC7_false-no-overflow.bpl,0,1,2,67.19
PastaB4.bpl,0,0,3,32.1
1.bpl,0,0,3,29.58
168.bpl,0,0,3,25.29
a.09_assume_false-no-overflow.bpl,0,0,3,23.32
163.bpl,0,2,1,85.73
152.bpl,0,0,3,76.66
57.bpl,0,0,3,26.7
132.bpl,0,0,3,14.54
b.03_assume.bpl,0,0,3,33.47
b.03_assume.bpl,0,0,3,41.39
153.bpl,0,3,0,90.53
GulavaniGulwani-CAV2008-Fig1c.bpl,0,0,3,20.7
165.bpl,0,0,3,32.31
PastaB11_false-no-overflow_true-termination.bpl,0,0,3,19.39
PastaB1.bpl,0,0,3,17.41
160.bpl,0,0,3,70.55
ChenFlurMukhopadhyay-SAS2012-Ex2.01.bpl,2,0,1,83.95
ChenFlurMukhopadhyay-SAS2012-Ex3.04.bpl,3,0,0,117.85
58.bpl,0,0,3,25.69
66.bpl,3,0,0,22.7
29.bpl,0,0,3,36.02
127.bpl,0,0,3,31.45
161.bpl,1,0,2,66.41
51.bpl,3,0,0,56.45
ColonSipma-TACAS2001-Fig1.bpl,3,0,0,131.34
PastaA7.bpl,0,0,3,43.14
PastaB7.bpl,0,0,3,23.85
157.bpl,3,0,0,62.32
AliasDarteFeautrierGonnord-SAS2010-terminate.bpl,2,1,0,133.16
4NestedWith3Variables-2.bpl,0,3,0,80.32
AliasDarteFeautrierGonnord-SAS2010-exmini.bpl,3,0,0,82.52
7.bpl,1,0,2,111.69
